filename,Class,Size,Position X,Position Y,Background Color,Shape Color
Square_1.png,Square,11,0,0,Black,White
Square_2.png,Square,11,0,2,Black,White
Square_3.png,Square,11,0,4,Black,White
Square_4.png,Square,11,0,6,Black,White
Square_5.png,Square,11,0,8,Black,White
Square_6.png,Square,11,0,10,Black,White
Square_7.png,Square,11,0,12,Black,White
Square_8.png,Square,11,0,14,Black,White
Square_9.png,Square,11,0,16,Black,White
Square_10.png,Square,11,0,18,Black,White
Square_11.png,Square,11,0,20,Black,White
Square_12.png,Square,11,2,0,Black,White
Square_13.png,Square,11,2,2,Black,White
Square_14.png,Square,11,2,4,Black,White
Square_15.png,Square,11,2,6,Black,White
Square_16.png,Square,11,2,8,Black,White
Square_17.png,Square,11,2,10,Black,White
Square_18.png,Square,11,2,12,Black,White
Square_19.png,Square,11,2,14,Black,White
Square_20.png,Square,11,2,16,Black,White
Square_21.png,Square,11,2,18,Black,White
Square_22.png,Square,11,2,20,Black,White
Square_23.png,Square,11,4,0,Black,White
Square_24.png,Square,11,4,2,Black,White
Square_25.png,Square,11,4,4,Black,White
Square_26.png,Square,11,4,6,Black,White
Square_27.png,Square,11,4,8,Black,White
Square_28.png,Square,11,4,10,Black,White
Square_29.png,Square,11,4,12,Black,White
Square_30.png,Square,11,4,14,Black,White
Square_31.png,Square,11,4,16,Black,White
Square_32.png,Square,11,4,18,Black,White
Square_33.png,Square,11,4,20,Black,White
Square_34.png,Square,11,6,0,Black,White
Square_35.png,Square,11,6,2,Black,White
Square_36.png,Square,11,6,4,Black,White
Square_37.png,Square,11,6,6,Black,White
Square_38.png,Square,11,6,8,Black,White
Square_39.png,Square,11,6,10,Black,White
Square_40.png,Square,11,6,12,Black,White
Square_41.png,Square,11,6,14,Black,White
Square_42.png,Square,11,6,16,Black,White
Square_43.png,Square,11,6,18,Black,White
Square_44.png,Square,11,6,20,Black,White
Square_45.png,Square,11,8,0,Black,White
Square_46.png,Square,11,8,2,Black,White
Square_47.png,Square,11,8,4,Black,White
Square_48.png,Square,11,8,6,Black,White
Square_49.png,Square,11,8,8,Black,White
Square_50.png,Square,11,8,10,Black,White
Square_51.png,Square,11,8,12,Black,White
Square_52.png,Square,11,8,14,Black,White
Square_53.png,Square,11,8,16,Black,White
Square_54.png,Square,11,8,18,Black,White
Square_55.png,Square,11,8,20,Black,White
Square_56.png,Square,11,10,0,Black,White
Square_57.png,Square,11,10,2,Black,White
Square_58.png,Square,11,10,4,Black,White
Square_59.png,Square,11,10,6,Black,White
Square_60.png,Square,11,10,8,Black,White
Square_61.png,Square,11,10,10,Black,White
Square_62.png,Square,11,10,12,Black,White
Square_63.png,Square,11,10,14,Black,White
Square_64.png,Square,11,10,16,Black,White
Square_65.png,Square,11,10,18,Black,White
Square_66.png,Square,11,10,20,Black,White
Square_67.png,Square,11,12,0,Black,White
Square_68.png,Square,11,12,2,Black,White
Square_69.png,Square,11,12,4,Black,White
Square_70.png,Square,11,12,6,Black,White
Square_71.png,Square,11,12,8,Black,White
Square_72.png,Square,11,12,10,Black,White
Square_73.png,Square,11,12,12,Black,White
Square_74.png,Square,11,12,14,Black,White
Square_75.png,Square,11,12,16,Black,White
Square_76.png,Square,11,12,18,Black,White
Square_77.png,Square,11,12,20,Black,White
Square_78.png,Square,11,14,0,Black,White
Square_79.png,Square,11,14,2,Black,White
Square_80.png,Square,11,14,4,Black,White
Square_81.png,Square,11,14,6,Black,White
Square_82.png,Square,11,14,8,Black,White
Square_83.png,Square,11,14,10,Black,White
Square_84.png,Square,11,14,12,Black,White
Square_85.png,Square,11,14,14,Black,White
Square_86.png,Square,11,14,16,Black,White
Square_87.png,Square,11,14,18,Black,White
Square_88.png,Square,11,14,20,Black,White
Square_89.png,Square,11,16,0,Black,White
Square_90.png,Square,11,16,2,Black,White
Square_91.png,Square,11,16,4,Black,White
Square_92.png,Square,11,16,6,Black,White
Square_93.png,Square,11,16,8,Black,White
Square_94.png,Square,11,16,10,Black,White
Square_95.png,Square,11,16,12,Black,White
Square_96.png,Square,11,16,14,Black,White
Square_97.png,Square,11,16,16,Black,White
Square_98.png,Square,11,16,18,Black,White
Square_99.png,Square,11,16,20,Black,White
Square_100.png,Square,11,18,0,Black,White
Square_101.png,Square,11,18,2,Black,White
Square_102.png,Square,11,18,4,Black,White
Square_103.png,Square,11,18,6,Black,White
Square_104.png,Square,11,18,8,Black,White
Square_105.png,Square,11,18,10,Black,White
Square_106.png,Square,11,18,12,Black,White
Square_107.png,Square,11,18,14,Black,White
Square_108.png,Square,11,18,16,Black,White
Square_109.png,Square,11,18,18,Black,White
Square_110.png,Square,11,18,20,Black,White
Square_111.png,Square,11,20,0,Black,White
Square_112.png,Square,11,20,2,Black,White
Square_113.png,Square,11,20,4,Black,White
Square_114.png,Square,11,20,6,Black,White
Square_115.png,Square,11,20,8,Black,White
Square_116.png,Square,11,20,10,Black,White
Square_117.png,Square,11,20,12,Black,White
Square_118.png,Square,11,20,14,Black,White
Square_119.png,Square,11,20,16,Black,White
Square_120.png,Square,11,20,18,Black,White
Square_121.png,Square,11,20,20,Black,White
Square_122.png,Square,8,0,0,Black,White
Square_123.png,Square,8,0,2,Black,White
Square_124.png,Square,8,0,4,Black,White
Square_125.png,Square,8,0,6,Black,White
Square_126.png,Square,8,0,8,Black,White
Square_127.png,Square,8,0,10,Black,White
Square_128.png,Square,8,0,12,Black,White
Square_129.png,Square,8,0,14,Black,White
Square_130.png,Square,8,0,16,Black,White
Square_131.png,Square,8,0,18,Black,White
Square_132.png,Square,8,0,20,Black,White
Square_133.png,Square,8,2,0,Black,White
Square_134.png,Square,8,2,2,Black,White
Square_135.png,Square,8,2,4,Black,White
Square_136.png,Square,8,2,6,Black,White
Square_137.png,Square,8,2,8,Black,White
Square_138.png,Square,8,2,10,Black,White
Square_139.png,Square,8,2,12,Black,White
Square_140.png,Square,8,2,14,Black,White
Square_141.png,Square,8,2,16,Black,White
Square_142.png,Square,8,2,18,Black,White
Square_143.png,Square,8,2,20,Black,White
Square_144.png,Square,8,4,0,Black,White
Square_145.png,Square,8,4,2,Black,White
Square_146.png,Square,8,4,4,Black,White
Square_147.png,Square,8,4,6,Black,White
Square_148.png,Square,8,4,8,Black,White
Square_149.png,Square,8,4,10,Black,White
Square_150.png,Square,8,4,12,Black,White
Square_151.png,Square,8,4,14,Black,White
Square_152.png,Square,8,4,16,Black,White
Square_153.png,Square,8,4,18,Black,White
Square_154.png,Square,8,4,20,Black,White
Square_155.png,Square,8,6,0,Black,White
Square_156.png,Square,8,6,2,Black,White
Square_157.png,Square,8,6,4,Black,White
Square_158.png,Square,8,6,6,Black,White
Square_159.png,Square,8,6,8,Black,White
Square_160.png,Square,8,6,10,Black,White
Square_161.png,Square,8,6,12,Black,White
Square_162.png,Square,8,6,14,Black,White
Square_163.png,Square,8,6,16,Black,White
Square_164.png,Square,8,6,18,Black,White
Square_165.png,Square,8,6,20,Black,White
Square_166.png,Square,8,8,0,Black,White
Square_167.png,Square,8,8,2,Black,White
Square_168.png,Square,8,8,4,Black,White
Square_169.png,Square,8,8,6,Black,White
Square_170.png,Square,8,8,8,Black,White
Square_171.png,Square,8,8,10,Black,White
Square_172.png,Square,8,8,12,Black,White
Square_173.png,Square,8,8,14,Black,White
Square_174.png,Square,8,8,16,Black,White
Square_175.png,Square,8,8,18,Black,White
Square_176.png,Square,8,8,20,Black,White
Square_177.png,Square,8,10,0,Black,White
Square_178.png,Square,8,10,2,Black,White
Square_179.png,Square,8,10,4,Black,White
Square_180.png,Square,8,10,6,Black,White
Square_181.png,Square,8,10,8,Black,White
Square_182.png,Square,8,10,10,Black,White
Square_183.png,Square,8,10,12,Black,White
Square_184.png,Square,8,10,14,Black,White
Square_185.png,Square,8,10,16,Black,White
Square_186.png,Square,8,10,18,Black,White
Square_187.png,Square,8,10,20,Black,White
Square_188.png,Square,8,12,0,Black,White
Square_189.png,Square,8,12,2,Black,White
Square_190.png,Square,8,12,4,Black,White
Square_191.png,Square,8,12,6,Black,White
Square_192.png,Square,8,12,8,Black,White
Square_193.png,Square,8,12,10,Black,White
Square_194.png,Square,8,12,12,Black,White
Square_195.png,Square,8,12,14,Black,White
Square_196.png,Square,8,12,16,Black,White
Square_197.png,Square,8,12,18,Black,White
Square_198.png,Square,8,12,20,Black,White
Square_199.png,Square,8,14,0,Black,White
Square_200.png,Square,8,14,2,Black,White
Square_201.png,Square,8,14,4,Black,White
Square_202.png,Square,8,14,6,Black,White
Square_203.png,Square,8,14,8,Black,White
Square_204.png,Square,8,14,10,Black,White
Square_205.png,Square,8,14,12,Black,White
Square_206.png,Square,8,14,14,Black,White
Square_207.png,Square,8,14,16,Black,White
Square_208.png,Square,8,14,18,Black,White
Square_209.png,Square,8,14,20,Black,White
Square_210.png,Square,8,16,0,Black,White
Square_211.png,Square,8,16,2,Black,White
Square_212.png,Square,8,16,4,Black,White
Square_213.png,Square,8,16,6,Black,White
Square_214.png,Square,8,16,8,Black,White
Square_215.png,Square,8,16,10,Black,White
Square_216.png,Square,8,16,12,Black,White
Square_217.png,Square,8,16,14,Black,White
Square_218.png,Square,8,16,16,Black,White
Square_219.png,Square,8,16,18,Black,White
Square_220.png,Square,8,16,20,Black,White
Square_221.png,Square,8,18,0,Black,White
Square_222.png,Square,8,18,2,Black,White
Square_223.png,Square,8,18,4,Black,White
Square_224.png,Square,8,18,6,Black,White
Square_225.png,Square,8,18,8,Black,White
Square_226.png,Square,8,18,10,Black,White
Square_227.png,Square,8,18,12,Black,White
Square_228.png,Square,8,18,14,Black,White
Square_229.png,Square,8,18,16,Black,White
Square_230.png,Square,8,18,18,Black,White
Square_231.png,Square,8,18,20,Black,White
Square_232.png,Square,8,20,0,Black,White
